Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
M*Q:1;3.2;20;19;1;Mollen August;99;SWE;Sweden;10:36
M*Q:1;3.2;20;19;2;Bjork Cornelius;02;NOR;Norway;10:38
M*Q:1;3.2;20;19;3;Harlem Fosser Kasper;99;NOR;Norway;10:45
M*Q:1;3.2;20;19;3;Oksanen Teemu;00;FIN;Finland;10:45
M*Q:1;3.2;20;19;5;Granqvist Axel;99;SWE;Sweden;10:48
M*Q:1;3.2;20;19;6;Glonek Jakub;96;CZE;Czechia;10:56
M*Q:1;3.2;20;19;7;Hubmann Daniel;83;SUI;Switzerland;11:00
M*Q:1;3.2;20;19;8;Olejnik Michal;92;POL;Poland;11:03
M*Q:1;3.2;20;19;8;Pezzati Tobia;96;SUI;Switzerland;11:03
M*Q:1;3.2;20;19;10;Mcnulty Henry;96;AUS;Australia;11:05
M*Q:1;3.2;20;19;11;Lawson Nathan;97;GBR;Great Britain;11:06
M*Q:1;3.2;20;19;12;Debertolis Mattia;96;ITA;Italy;11:08
M*Q:1;3.2;20;19;13;Peter Mathias;96;AUT;Austria;11:13
M*Q:1;3.2;20;19;14;Marchand Nathan;02;FRA;France;11:21
M*Q:1;3.2;20;19;15;Ormay Mihaly;99;HUN;Hungary;11:24
M*Q:1;3.2;20;19;15;Delenne Adrien;96;FRA;France;11:24
M*Q:1;3.2;20;19;17;Moulet Quentin;00;FRA;France;11:27
M*Q:1;3.2;20;19;18;Casanova Riccardo;00;GER;Germany;11:28
M*Q:1;3.2;20;19;19;Vandas Daniel;98;CZE;Czechia;11:31
M*Q:1;3.2;20;19;20;Ferrando Gonzalo;04;ESP;Spain;11:34
M*Q:1;3.2;20;19;21;Parfianowicz Piotr;94;POL;Poland;11:39
M*Q:1;3.2;20;19;22;Bernardino Joao;98;POR;Portugal;11:40
M*Q:1;3.2;20;19;23;Shingler Ewan;02;AUS;Australia;11:44
M*Q:1;3.2;20;19;24;Schoenleber Jannis;96;GER;Germany;11:47
M*Q:1;3.2;20;19;25;Reneslacis Valters;98;LAT;Latvia;11:59
M*Q:1;3.2;20;19;26;Naess Jan Erik;98;CAN;Canada;12:04
M*Q:1;3.2;20;19;27;Sonajalg Ats;90;EST;Estonia;12:13
M*Q:1;3.2;20;19;28;Yogev Rotem;01;ISR;Israel;12:24
M*Q:1;3.2;20;19;29;Wong Tsz Chun Jason;01;HKG;Hong Kong China;13:02
M*Q:1;3.2;20;19;30;Coolen Gian Andrin;01;NED;Netherlands;13:04
M*Q:1;3.2;20;19;31;Short Ruairi;89;IRL;Ireland;13:51
M*Q:1;3.2;20;19;32;Rachuk Taras;98;UKR;Ukraine;13:57
M*Q:1;3.2;20;19;33;Yoshizawa Yuta;95;JPN;Japan;15:44
M*Q:1;3.2;20;19;33;Isaza Hurtado Santiago;90;COL;Colombia;15:44
M*Q:1;3.2;20;19;;Li Chun Ho;98;HKG;Hong Kong China;P.fehl.
M*Q:1;3.2;20;19;;Curiger Thomas;96;USA;United States;P.fehl.
M*Q:1;3.2;20;19;;Edvardsen Jeppe;01;DEN;Denmark;P.fehl.
M*Q:1;3.2;20;19;;Carcas Freddie;99;GBR;Great Britain;P.fehl.
M*Q:1;3.2;20;19;;Bjoernsen Andreas Bock;00;DEN;Denmark;P.fehl.
M*Q:1;3.2;20;19;;Lynch Joseph;99;NZL;New Zealand;P.fehl.
M*Q:1;3.2;20;19;;von Krusenstierna Isac;98;SWE;Sweden;P.fehl.
M*Q:1;3.2;20;19;;Ruohola Akseli;98;FIN;Finland;P.fehl.
M*Q:1;3.2;20;19;;Eidsmo Havard Sandstad;98;NOR;Norway;P.fehl.
M*Q:1;3.2;20;19;;Michiels Yannick;91;BEL;Belgium;P.fehl.
M*Q:2;3.2;20;22;1;Heikkila Tuomas;98;FIN;Finland;11:03
M*Q:2;3.2;20;22;2;Svensk Emil;93;SWE;Sweden;11:22
M*Q:2;3.2;20;22;3;Jonsson Elias;99;NOR;Norway;11:26
M*Q:2;3.2;20;22;4;Gustafsson Jonatan;99;SWE;Sweden;11:27
M*Q:2;3.2;20;22;5;Krivda Tomas;99;CZE;Czechia;11:30
M*Q:2;3.2;20;22;6;Breivik Eirik Langedal;98;NOR;Norway;11:32
M*Q:2;3.2;20;22;7;Verove Guilhem;04;FRA;France;11:35
M*Q:2;3.2;20;22;8;Rancan Riccardo;96;SUI;Switzerland;11:36
M*Q:2;3.2;20;22;8;Aebersold Fabian;00;SUI;Switzerland;11:36
M*Q:2;3.2;20;22;10;Mariani Francesco;01;ITA;Italy;11:41
M*Q:2;3.2;20;22;11;Robertson Tim;95;NZL;New Zealand;11:43
M*Q:2;3.2;20;22;12;Barros Vallet Mathias;03;FRA;France;11:45
M*Q:2;3.2;20;22;13;Crickmore Jonathan;93;GBR;Great Britain;11:47
M*Q:2;3.2;20;22;14;Eidsmo Mats;00;NOR;Norway;11:50
M*Q:2;3.2;20;22;15;Hodkinson Peter;91;GBR;Great Britain;11:58
M*Q:2;3.2;20;22;16;Aho Aaro;99;FIN;Finland;12:01
M*Q:2;3.2;20;22;17;Olisauskis Kevinas;96;LTU;Lithuania;12:05
M*Q:2;3.2;20;22;17;Reiner Matthias;94;AUT;Austria;12:05
M*Q:2;3.2;20;22;19;Blumenstein Bojan;93;GER;Germany;12:10
M*Q:2;3.2;20;22;20;Steinthal Jacob;01;DEN;Denmark;12:14
M*Q:2;3.2;20;22;21;de Cuyper Warre;97;BEL;Belgium;12:24
M*Q:2;3.2;20;22;22;Hennseler Ole;98;GER;Germany;12:26
M*Q:2;3.2;20;22;23;Blaise Mathias;98;BEL;Belgium;12:28
M*Q:2;3.2;20;22;24;Kristiansson Linus Agervig;01;DEN;Denmark;12:31
M*Q:2;3.2;20;22;25;Novak Lukas;01;AUT;Austria;12:39
M*Q:2;3.2;20;22;26;Sankelo Sampo;03;FIN;Finland;12:43
M*Q:2;3.2;20;22;27;Baumholczer Mate;92;HUN;Hungary;12:44
M*Q:2;3.2;20;22;28;Borton Nathan;04;NZL;New Zealand;12:50
M*Q:2;3.2;20;22;29;Coufal Jachym;02;CZE;Czechia;13:14
M*Q:2;3.2;20;22;30;Oliveira Manuel;01;POR;Portugal;13:33
M*Q:2;3.2;20;22;31;Vilismae Martin;89;EST;Estonia;13:51
M*Q:2;3.2;20;22;32;Yu Tsz Wai;92;HKG;Hong Kong China;14:16
M*Q:2;3.2;20;22;33;Sliksjanis Matiss;98;LAT;Latvia;14:28
M*Q:2;3.2;20;22;34;Golovei Andrei;93;MDA;Moldova  Republic of;14:59
M*Q:2;3.2;20;22;35;Kula Mateusz;03;POL;Poland;15:06
M*Q:2;3.2;20;22;36;Kerr Andrew;02;AUS;Australia;15:34
M*Q:2;3.2;20;22;37;Eshel Sahar;05;ISR;Israel;15:56
M*Q:2;3.2;20;22;;Runefors Gustav;00;SWE;Sweden;P.fehl.
M*Q:2;3.2;20;22;;Laraia Thomas;00;USA;United States;P.fehl.
M*Q:2;3.2;20;22;;Otreshko Illia;03;UKR;Ukraine;Po.fal.
M*Q:2;3.2;20;22;;Bujdoso Zoltan;02;HUN;Hungary;P.fehl.
M*Q:2;3.2;20;22;;Attinger Florian;97;SUI;Switzerland;P.fehl.
M*Q:2;3.2;20;22;;Casado Alvaro;00;ESP;Spain;Po.fal.
M*Q:3;3.2;20;21;1;Suter Timo;98;SUI;Switzerland;11:05
M*Q:3;3.2;20;21;2;Hadorn Joey;97;SUI;Switzerland;11:21
M*Q:3;3.2;20;21;3;Kirmula Miika;94;FIN;Finland;11:22
M*Q:3;3.2;20;21;4;Regborn Martin;92;SWE;Sweden;11:24
M*Q:3;3.2;20;21;5;Capbern Loic;93;FRA;France;11:25
M*Q:3;3.2;20;21;6;Polsini Tino;99;SUI;Switzerland;11:28
M*Q:3;3.2;20;21;6;Alstad Tobias;02;NOR;Norway;11:28
M*Q:3;3.2;20;21;8;Street Ralph;90;GBR;Great Britain;11:33
M*Q:3;3.2;20;21;8;Ferrando Pablo;02;ESP;Spain;11:33
M*Q:3;3.2;20;21;10;Seppa Touko;02;FIN;Finland;11:39
M*Q:3;3.2;20;21;11;Bonek Jannis;99;AUT;Austria;11:41
M*Q:3;3.2;20;21;12;Baklid Jorgen;99;NOR;Norway;11:42
M*Q:3;3.2;20;21;12;Reichenbach Anselm;03;GER;Germany;11:42
M*Q:3;3.2;20;21;14;Hubacek Jonas;95;CZE;Czechia;11:43
M*Q:3;3.2;20;21;15;Glibov Ruslan;87;UKR;Ukraine;11:45
M*Q:3;3.2;20;21;16;Ronkainen Aarni;03;FIN;Finland;11:47
M*Q:3;3.2;20;21;16;Kivikas Kenny;91;EST;Estonia;11:47
