Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
W*QF:1;2.1;25;15;1;Pia Young Vik;03;NOR;Norway;7:52
W*QF:1;2.1;25;15;2;Tereza Rauturier;99;CZE;Czechia;7:55
W*QF:1;2.1;25;15;3;Grace Molloy;00;GBR;Great Britain;8:19
W*QF:1;2.1;25;15;4;Anna Groell;02;AUT;Austria;8:37
W*QF:1;2.1;25;15;5;Fanny Delahaye;07;FRA;France;8:38
W*QF:1;2.1;25;15;6;Vilma von Krusenstierna;99;SWE;Sweden;9:20
W*QF:2;2.1;25;15;1;Sanna Fast;98;SWE;Sweden;7:49
W*QF:2;2.1;25;15;2;Venla Harju;90;FIN;Finland;8:00
W*QF:2;2.1;25;15;3;Malin Agervig Kristiansson;01;DEN;Denmark;8:04
W*QF:2;2.1;25;15;4;Ana Isabel Toledo;00;ESP;Spain;8:07
W*QF:2;2.1;25;15;5;Viktoria Mag;03;HUN;Hungary;8:07
W*QF:2;2.1;25;15;6;Sandra Grosberga;95;LAT;Latvia;8:09
W*QF:3;2.1;25;15;1;Cecile Calandry;01;FRA;France;7:55
W*QF:3;2.1;25;15;2;Natalia Gemperle;90;SUI;Switzerland;7:56
W*QF:3;2.1;25;15;3;Hedvig Valbjorn Gydesen;01;DEN;Denmark;7:57
W*QF:3;2.1;25;15;4;Lilly Graber;02;SUI;Switzerland;7:57
W*QF:3;2.1;25;15;5;Maiju Oksanen;97;FIN;Finland;8:29
W*QF:3;2.1;25;15;6;Laura Robertson;93;NZL;New Zealand;8:36
W*QF:4;2.1;25;15;1;Hanna Lundberg;02;SWE;Sweden;7:47
W*QF:4;2.1;25;15;2;Annabelle Delenne;04;FRA;France;8:05
W*QF:4;2.1;25;15;3;Maija Sianoja;88;FIN;Finland;8:05
W*QF:4;2.1;25;15;4;Csilla Gardonyi;01;HUN;Hungary;8:07
W*QF:4;2.1;25;15;5;Paula Gross;96;SUI;Switzerland;8:16
W*QF:4;2.1;25;15;6;Andrine Benjaminsen;95;NOR;Norway;8:39
W*QF:5;2.1;25;15;1;Alva Sonesson;01;SWE;Sweden;7:50
W*QF:5;2.1;25;15;2;Inka Nurminen;00;FIN;Finland;7:51
W*QF:5;2.1;25;15;3;Victoria Haestad Bjornstad;99;NOR;Norway;7:52
W*QF:5;2.1;25;15;4;Maelle Beauvir;97;FRA;France;7:52
W*QF:5;2.1;25;15;5;Rita Maramarosi;05;HUN;Hungary;7:56
W*QF:5;2.1;25;15;6;Veera Klemettinen;98;FIN;Finland;7:59
W*QF:6;2.1;25;15;1;Simona Aebersold;98;SUI;Switzerland;7:50
W*QF:6;2.1;25;15;2;Ida Agervig Kristiansson;99;DEN;Denmark;7:59
W*QF:6;2.1;25;15;3;Hanne Hilo;02;FIN;Finland;8:18
W*QF:6;2.1;25;15;4;Deborah Stadler;97;SUI;Switzerland;8:22
W*QF:6;2.1;25;15;5;Kristin Melby Jacobsen;03;NOR;Norway;8:22
W*QF:6;2.1;25;15;6;Aleksandra Hornik;96;POL;Poland;10:16
M*QF:1;2.1;25;15;1;Tuomas Heikkila;98;FIN;Finland;6:48
M*QF:1;2.1;25;15;2;Gustav Runefors;00;SWE;Sweden;6:49
M*QF:1;2.1;25;15;3;Aaro Aho;99;FIN;Finland;6:52
M*QF:1;2.1;25;15;4;Aarni Ronkainen;03;FIN;Finland;6:55
M*QF:1;2.1;25;15;5;Lukas Novak;01;AUT;Austria;7:09
M*QF:1;2.1;25;15;6;Peter Molloy;02;GBR;Great Britain;7:09
M*QF:2;2.1;25;15;1;Tino Polsini;99;SUI;Switzerland;6:51
M*QF:2;2.1;25;15;2;Isac von Krusenstierna;98;SWE;Sweden;6:55
M*QF:2;2.1;25;15;3;Ferenc Jonas;01;HUN;Hungary;6:57
M*QF:2;2.1;25;15;4;Romain Pichard;04;FRA;France;6:58
M*QF:2;2.1;25;15;5;Reto Egger;99;SUI;Switzerland;7:00
M*QF:2;2.1;25;15;6;Alfred Bjoerneroed;04;NOR;Norway;7:48
M*QF:3;2.1;25;15;1;Fabian Aebersold;00;SUI;Switzerland;6:54
M*QF:3;2.1;25;15;2;Mathieu Perrin;98;FRA;France;6:56
M*QF:3;2.1;25;15;3;Axel Granqvist;99;SWE;Sweden;6:58
M*QF:3;2.1;25;15;4;Teemu Oksanen;00;FIN;Finland;7:04
M*QF:3;2.1;25;15;5;Mathias Barros Vallet;03;FRA;France;7:06
M*QF:3;2.1;25;15;6;Francesco Mariani;01;ITA;Italy;7:24
M*QF:4;2.1;25;15;1;Benjamin Wey;03;SUI;Switzerland;6:47
M*QF:4;2.1;25;15;2;Tomas Krivda;99;CZE;Czechia;6:48
M*QF:4;2.1;25;15;3;Eirik Langedal Breivik;98;NOR;Norway;6:50
M*QF:4;2.1;25;15;4;Florian Attinger;97;SUI;Switzerland;7:10
M*QF:4;2.1;25;15;5;Quentin Andrieux;01;FRA;France;7:23
M*QF:4;2.1;25;15;6;David Rojas;00;ESP;Spain;7:35
M*QF:5;2.1;25;15;1;Zoltan Bujdoso;02;HUN;Hungary;6:41
M*QF:5;2.1;25;15;2;Kasper Harlem Fosser;99;NOR;Norway;6:51
M*QF:5;2.1;25;15;3;Timo Suter;98;SUI;Switzerland;6:53
M*QF:5;2.1;25;15;4;Jakub Glonek;96;CZE;Czechia;6:54
M*QF:5;2.1;25;15;5;Santeri Kirjavainen;03;FIN;Finland;7:15
M*QF:5;2.1;25;15;6;Otto Kaario;98;FIN;Finland;7:29
M*QF:6;2.1;25;15;1;Guilhem Verove;04;FRA;France;6:39
M*QF:6;2.1;25;15;2;Adrien Delenne;96;FRA;France;6:42
M*QF:6;2.1;25;15;3;Yannick Michiels;91;BEL;Belgium;6:47
M*QF:6;2.1;25;15;4;Emil Svensk;93;SWE;Sweden;6:48
