Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
M;4.1;20;21;1;Tomas Krivda;99;CZE;Czechia;13:32
M;4.1;20;21;2;Matthias Kyburz;90;SUI;Switzerland;13:36
M;4.1;20;21;3;Yannick Michiels;91;BEL;Belgium;13:41
M;4.1;20;21;4;Tuomas Heikkila;98;FIN;Finland;13:49
M;4.1;20;21;5;Kasper Harlem Fosser;99;NOR;Norway;13:51
M;4.1;20;21;5;Tino Polsini;99;SUI;Switzerland;13:51
M;4.1;20;21;7;Isac von Krusenstierna;98;SWE;Sweden;13:55
M;4.1;20;21;8;Jonatan Gustafsson;99;SWE;Sweden;14:01
M;4.1;20;21;9;Zoltan Bujdoso;02;HUN;Hungary;14:09
M;4.1;20;21;9;Adrien Delenne;96;FRA;France;14:09
M;4.1;20;21;11;Oskar Spets Storhov;99;NOR;Norway;14:10
M;4.1;20;21;12;Martin Regborn;92;SWE;Sweden;14:11
M;4.1;20;21;13;Mathias Barros Vallet;03;FRA;France;14:12
M;4.1;20;21;14;Riccardo Rancan;96;SUI;Switzerland;14:13
M;4.1;20;21;15;Fabian Aebersold;00;SUI;Switzerland;14:14
M;4.1;20;21;16;Max Peter Bejmer;92;SWE;Sweden;14:15
M;4.1;20;21;17;Joey Hadorn;97;SUI;Switzerland;14:16
M;4.1;20;21;18;Tim Robertson;95;NZL;New Zealand;14:17
M;4.1;20;21;18;Akseli Ruohola;98;FIN;Finland;14:17
M;4.1;20;21;20;Mathieu Perrin;98;FRA;France;14:19
M;4.1;20;21;20;Quentin Moulet;00;FRA;France;14:19
M;4.1;20;21;22;Aaro Aho;99;FIN;Finland;14:20
M;4.1;20;21;23;Teemu Oksanen;00;FIN;Finland;14:21
M;4.1;20;21;24;Axel Granqvist;99;SWE;Sweden;14:24
M;4.1;20;21;25;Freddie Carcas;99;GBR;Great Britain;14:29
M;4.1;20;21;26;Benjamin Wey;03;SUI;Switzerland;14:31
M;4.1;20;21;26;Timo Suter;98;SUI;Switzerland;14:31
M;4.1;20;21;26;Aarni Ronkainen;03;FIN;Finland;14:31
M;4.1;20;21;29;Sampo Sankelo;03;FIN;Finland;14:33
M;4.1;20;21;29;August Mollen;99;SWE;Sweden;14:33
M;4.1;20;21;29;Quentin Andrieux;01;FRA;France;14:33
M;4.1;20;21;32;Jakub Glonek;96;CZE;Czechia;14:36
M;4.1;20;21;32;Daniel Hubmann;83;SUI;Switzerland;14:36
M;4.1;20;21;32;Simen Spets Storhov;01;NOR;Norway;14:36
M;4.1;20;21;35;Francesco Mariani;01;ITA;Italy;14:37
M;4.1;20;21;36;Gustav Runefors;00;SWE;Sweden;14:38
M;4.1;20;21;37;Henry Mcnulty;96;AUS;Australia;14:39
M;4.1;20;21;38;Alvaro Casado;00;ESP;Spain;14:40
M;4.1;20;21;39;Isak Jonsson;01;NOR;Norway;14:42
M;4.1;20;21;40;Daniel Vandas;98;CZE;Czechia;14:43
M;4.1;20;21;41;Otto Kaario;98;FIN;Finland;14:45
M;4.1;20;21;41;Mats Eidsmo;00;NOR;Norway;14:45
M;4.1;20;21;41;Jurgen Joonas;03;EST;Estonia;14:45
M;4.1;20;21;44;Lukas Novak;01;AUT;Austria;14:47
M;4.1;20;21;45;Alfred Bjoerneroed;04;NOR;Norway;14:48
M;4.1;20;21;45;Tomasz Rzenca;08;POL;Poland;14:48
M;4.1;20;21;47;Guilhem Verove;04;FRA;France;14:51
M;4.1;20;21;48;Viktor Svensk;01;SWE;Sweden;14:53
M;4.1;20;21;48;Eddie Narbett;99;GBR;Great Britain;14:53
M;4.1;20;21;50;Santeri Kirjavainen;03;FIN;Finland;14:54
M;4.1;20;21;50;Loic Capbern;93;FRA;France;14:54
M;4.1;20;21;52;Oscar David Broman Jensen;03;DEN;Denmark;14:55
M;4.1;20;21;53;Jakub Chaloupsky;03;CZE;Czechia;14:57
M;4.1;20;21;54;Mathias Blaise;98;BEL;Belgium;14:59
M;4.1;20;21;55;Ferenc Jonas;01;HUN;Hungary;15:01
M;4.1;20;21;56;Martin Roudny;00;CZE;Czechia;15:02
M;4.1;20;21;57;Jorgen Baklid;99;NOR;Norway;15:05
M;4.1;20;21;58;Maxime Rauturier;94;FRA;France;15:06
M;4.1;20;21;59;Nathan Lawson;97;GBR;Great Britain;15:07
M;4.1;20;21;59;Jim Bailey;03;GBR;Great Britain;15:07
M;4.1;20;21;61;Wouter Hus;94;BEL;Belgium;15:10
M;4.1;20;21;62;Piotr Parfianowicz;94;POL;Poland;15:14
M;4.1;20;21;63;Warre de Cuyper;97;BEL;Belgium;15:19
M;4.1;20;21;64;Eirik Langedal Breivik;98;NOR;Norway;15:24
M;4.1;20;21;65;Ralph Street;90;GBR;Great Britain;15:26
M;4.1;20;21;66;Nicolas Kastner;98;AUT;Austria;15:27
M;4.1;20;21;67;Thomas Curiger;96;USA;United States;15:28
M;4.1;20;21;68;Gonzalo Ferrando;04;ESP;Spain;15:29
M;4.1;20;21;69;Euan Tryner;04;GBR;Great Britain;15:30
M;4.1;20;21;69;Charlie Rennie;03;GBR;Great Britain;15:30
M;4.1;20;21;71;David Rojas;00;ESP;Spain;15:31
M;4.1;20;21;71;Riccardo Casanova;00;GER;Germany;15:31
M;4.1;20;21;73;Marek Pompe;03;GER;Germany;15:32
M;4.1;20;21;74;Emil Oebro;96;DEN;Denmark;15:35
M;4.1;20;21;75;Magnus Dewett;95;DEN;Denmark;15:36
M;4.1;20;21;76;Josh Osullivan Hourihan;92;IRL;Ireland;15:37
M;4.1;20;21;77;Giacomo Zagonel;93;ITA;Italy;15:43
M;4.1;20;21;78;Bojan Blumenstein;93;GER;Germany;15:46
M;4.1;20;21;78;Angus Haines;00;AUS;Australia;15:46
M;4.1;20;21;80;Tomas Kasza;05;SVK;Slovakia;15:48
M;4.1;20;21;81;Georg Groell;99;AUT;Austria;15:49
M;4.1;20;21;81;Csaba Gerber;98;HUN;Hungary;15:49
M;4.1;20;21;81;Kylian Wymer;01;AUS;Australia;15:49
M;4.1;20;21;84;Hirokazu Osaki;91;JPN;Japan;15:50
M;4.1;20;21;85;Martin Rohac;03;SVK;Slovakia;15:52
M;4.1;20;21;85;Konstantin Kunckel;03;GER;Germany;15:52
M;4.1;20;21;87;Mathis Brouwier;06;BEL;Belgium;15:57
M;4.1;20;21;88;Gabor Vellner;90;HUN;Hungary;15:59
M;4.1;20;21;89;Matiss Saulite;03;LAT;Latvia;16:02
M;4.1;20;21;90;Corneel Casier;97;BEL;Belgium;16:04
M;4.1;20;21;90;Timon Lorenz;00;GER;Germany;16:04
M;4.1;20;21;92;Valters Reneslacis;98;LAT;Latvia;16:10
M;4.1;20;21;92;Victor Mullens;04;BEL;Belgium;16:10
M;4.1;20;21;94;Ricardo Schaniel;00;USA;United States;16:11
M;4.1;20;21;95;Tsz Chun Jason Wong;01;HKG;Hong Kong China;16:14
M;4.1;20;21;96;Samuele Tait;97;ITA;Italy;16:16
M;4.1;20;21;97;Mads Skaug;99;DEN;Denmark;16:22
M;4.1;20;21;98;Jakob Knoef;05;NZL;New Zealand;16:23
M;4.1;20;21;99;Gonzalo Zorrilla Olias;04;ESP;Spain;16:25
M;4.1;20;21;99;Andrii Marchuk;94;UKR;Ukraine;16:25
M;4.1;20;21;101;Konrad Stamer;03;GER;Germany;16:31
M;4.1;20;21;102;Tobias Nagel;04;GER;Germany;16:41
M;4.1;20;21;103;Ethan Penck;02;AUS;Australia;17:05
M;4.1;20;21;104;Lok Hin Ma;94;HKG;Hong Kong China;17:12
M;4.1;20;21;105;Joshua Ho Kiu Au;04;HKG;Hong Kong China;17:14
M;4.1;20;21;106;Gian Andrin Coolen;01;NED;Netherlands;17:27
M;4.1;20;21;107;Luiz Guilherme Maciel Melo;05;BRA;Brazil;17:33
M;4.1;20;21;108;Will Tidswell;02;NZL;New Zealand;17:34
M;4.1;20;21;109;Andrew Kerr;02;AUS;Australia;17:52
M;4.1;20;21;110;Juan Daniel Sanchez Uribe;96;COL;Colombia;18:10
M;4.1;20;21;111;Oscar Brown;04;AUS;Australia;18:17
M;4.1;20;21;112;Stefan Copetchi;95;ROU;Romania;19:55
M;4.1;20;21;113;Andrei Golovei;93;MDA;Moldova  Republic of;20:14
M;4.1;20;21;114;Collin Thompson;04;USA;United States;22:09
M;4.1;20;21;115;Cristian Betivu;06;MDA;Moldova  Republic of;22:56
M;4.1;20;21;;Colin Kolbe;98;GER;Germany;P.fehl.
W;3.6;16;20;1;Simona Aebersold;98;SUI;Switzerland;14:06
W;3.6;16;20;2;Natalia Gemperle;90;SUI;Switzerland;14:36
W;3.6;16;20;3;Pia Young Vik;03;NOR;Norway;14:40
W;3.6;16;20;4;Hanna Lundberg;02;SWE;Sweden;14:42
W;3.6;16;20;5;Frida Vikstrom;00;SWE;Sweden;14:53
W;3.6;16;20;6;Josefine Lind;97;DEN;Denmark;14:56
W;3.6;16;20;6;Vilma von Krusenstierna;99;SWE;Sweden;14:56
W;3.6;16;20;8;Victoria Haestad Bjornstad;99;NOR;Norway;15:01
W;3.6;16;20;9;Venla Harju;90;FIN;Finland;15:05
W;3.6;16;20;10;Aleksandra Hornik;96;POL;Poland;15:06
W;3.6;16;20;11;Jana Peterova;00;CZE;Czechia;15:07
W;3.6;16;20;11;Maelle Beauvir;97;FRA;France;15:07
W;3.6;16;20;13;Ines Berger;03;SUI;Switzerland;15:09
W;3.6;16;20;14;Cecile Calandry;01;FRA;France;15:10
W;3.6;16;20;15;Amy Nymalm;98;FIN;Finland;15:11
W;3.6;16;20;15;Alva Sonesson;01;SWE;Sweden;15:11
W;3.6;16;20;17;Inka Nurminen;00;FIN;Finland;15:14
W;3.6;16;20;17;Eleonora Alinder;03;SWE;Sweden;15:14
W;3.6;16;20;17;Laura Robertson;93;NZL;New Zealand;15:14
W;3.6;16;20;20;Ida Agervig Kristiansson;99;DEN;Denmark;15:15
W;3.6;16;20;21;Grace Molloy;00;GBR;Great Britain;15:17
W;3.6;16;20;22;Tereza Rauturier;99;CZE;Czechia;15:20
W;3.6;16;20;23;Lilly Graber;02;SUI;Switzerland;15:21
W;3.6;16;20;24;Hanne Hilo;02;FIN;Finland;15:22
W;3.6;16;20;25;Ylvi Kastner;00;AUT;Austria;15:24
W;3.6;16;20;26;Ane Dyrkorn;99;NOR;Norway;15:27
W;3.6;16;20;27;Veera Klemettinen;98;FIN;Finland;15:28
W;3.6;16;20;27;Maija Sianoja;88;FIN;Finland;15:28
W;3.6;16;20;29;Ida Haapala;01;FIN;Finland;15:31
W;3.6;16;20;29;Eef van Dongen;93;NED;Netherlands;15:31
W;3.6;16;20;31;Corina Hueni;01;SUI;Switzerland;15:34
W;3.6;16;20;31;Ana Isabel Toledo;00;ESP;Spain;15:34
W;3.6;16;20;33;Ingrid Lundanes;97;NOR;Norway;15:37
W;3.6;16;20;34;Jana Pekarova;02;CZE;Czechia;15:39
W;3.6;16;20;35;Annabelle Delenne;04;FRA;France;15:40
W;3.6;16;20;35;Deborah Stadler;97;SUI;Switzerland;15:40
W;3.6;16;20;37;Ilze Jumike;07;LAT;Latvia;15:44
W;3.6;16;20;37;Elsa Sonesson;03;SWE;Sweden;15:44
W;3.6;16;20;39;Emma Bjessmo;95;SWE;Sweden;15:45
W;3.6;16;20;40;Boglarka Czako;03;HUN;Hungary;15:46
W;3.6;16;20;41;Agata Olejnik;94;POL;Poland;15:47
W;3.6;16;20;42;Eline Gemperle;00;SUI;Switzerland;15:48
W;3.6;16;20;43;Lucie Dittrichova;05;CZE;Czechia;15:49
W;3.6;16;20;44;Tilda Johansson;96;SWE;Sweden;15:50
W;3.6;16;20;45;Ida Oebro;99;DEN;Denmark;15:51
W;3.6;16;20;46;Maiju Oksanen;97;FIN;Finland;15:55
W;3.6;16;20;47;Martina Ruch;94;SUI;Switzerland;16:00
W;3.6;16;20;48;Lucie Semikova;02;CZE;Czechia;16:01
W;3.6;16;20;48;Cecilie Andersen;97;GBR;Great Britain;16:01
W;3.6;16;20;48;Hanna Sudol;03;POL;Poland;16:01
W;3.6;16;20;51;Frida Haugskott;02;NOR;Norway;16:04
W;3.6;16;20;52;Laura Ramstein;92;AUT;Austria;16:10
W;3.6;16;20;52;Florence Hanauer;98;FRA;France;16:10
W;3.6;16;20;54;Jasmina Gassner;99;AUT;Austria;16:12
W;3.6;16;20;55;Mathea Gloeersen;04;NOR;Norway;16:18
W;3.6;16;20;56;Juliette Basset;98;FRA;France;16:21
W;3.6;16;20;57;Anouk van der Burgt;03;NED;Netherlands;16:22
W;3.6;16;20;58;Imogen Pieters;05;GBR;Great Britain;16:23
W;3.6;16;20;59;Gjendine Gjelstad Rebard;03;NOR;Norway;16:24
W;3.6;16;20;59;Ingeborg Rygg Eikeland;03;NOR;Norway;16:24
W;3.6;16;20;61;Robyn Astridge;04;CAN;Canada;16:25
W;3.6;16;20;62;Jule Rossner;05;GER;Germany;16:26
W;3.6;16;20;63;Aniko Koren;04;HUN;Hungary;16:32
W;3.6;16;20;64;Nerea Gonzalez;02;ESP;Spain;16:33
W;3.6;16;20;65;Bodza Virag Gerzsenyi;05;HUN;Hungary;16:34
W;3.6;16;20;66;Caterina Dallera;01;ITA;Italy;16:38
W;3.6;16;20;67;Tifenn Moulet;02;FRA;France;16:41
W;3.6;16;20;68;Paula Starke;96;GER;Germany;16:43
W;3.6;16;20;68;Dominika Mero;01;HUN;Hungary;16:43
W;3.6;16;20;70;Elza Kuze;02;LAT;Latvia;16:45
W;3.6;16;20;71;Chloe Potter;98;GBR;Great Britain;16:48
W;3.6;16;20;72;Katerina Stepova;06;CZE;Czechia;16:50
W;3.6;16;20;73;Hanna Mueller;96;GER;Germany;16:51
W;3.6;16;20;74;Birte Friedrichs;98;GER;Germany;16:54
W;3.6;16;20;75;Emily Gibbins;05;GBR;Great Britain;17:04
W;3.6;16;20;76;Anna Groell;02;AUT;Austria;17:08
W;3.6;16;20;77;Maddalena de Biasi;00;ITA;Italy;17:09
W;3.6;16;20;77;Yevheniia Veremeienko;94;UKR;Ukraine;17:09
W;3.6;16;20;79;Alix Villar;03;FRA;France;17:10
W;3.6;16;20;80;Tille de Smul;04;BEL;Belgium;17:12
W;3.6;16;20;81;Ana Camarasa;94;ESP;Spain;17:13
