Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
M*QF:1;1.9;10;9;1;Bjork Cornelius;02;NOR;Norway;6:35
M*QF:1;1.9;10;9;2;Gustafsson Jonatan;99;SWE;Sweden;6:36
M*QF:1;1.9;10;9;3;Hubmann Daniel;83;SUI;Switzerland;6:36
M*QF:1;1.9;10;9;4;Kirmula Miika;94;FIN;Finland;6:36
M*QF:1;1.9;10;9;5;Seppa Touko;02;FIN;Finland;6:38
M*QF:1;1.9;10;9;6;Ferrando Pablo;02;ESP;Spain;6:39
M*QF:2;1.9;10;9;1;Heikkila Tuomas;98;FIN;Finland;6:32
M*QF:2;1.9;10;9;2;Capbern Loic;93;FRA;France;6:33
M*QF:2;1.9;10;9;3;Rancan Riccardo;96;SUI;Switzerland;6:35
M*QF:2;1.9;10;9;4;Bonek Jannis;99;AUT;Austria;6:37
M*QF:2;1.9;10;9;5;Polsini Tino;99;SUI;Switzerland;6:38
M*QF:2;1.9;10;9;6;Mcnulty Henry;96;AUS;Australia;6:43
M*QF:3;1.9;10;9;1;Hadorn Joey;97;SUI;Switzerland;6:44
M*QF:3;1.9;10;9;2;Barros Vallet Mathias;03;FRA;France;6:45
M*QF:3;1.9;10;9;3;Street Ralph;90;GBR;Great Britain;6:45
M*QF:3;1.9;10;9;4;Svensk Emil;93;SWE;Sweden;6:45
M*QF:3;1.9;10;9;5;Glonek Jakub;96;CZE;Czechia;6:55
M*QF:3;1.9;10;9;6;Debertolis Mattia;96;ITA;Italy;6:57
M*QF:4;1.9;10;9;1;Regborn Martin;92;SWE;Sweden;6:27
M*QF:4;1.9;10;9;2;Jonsson Elias;99;NOR;Norway;6:28
M*QF:4;1.9;10;9;3;Alstad Tobias;02;NOR;Norway;6:28
M*QF:4;1.9;10;9;4;Lawson Nathan;97;GBR;Great Britain;6:32
M*QF:4;1.9;10;9;5;Mariani Francesco;01;ITA;Italy;6:33
M*QF:4;1.9;10;9;6;Krivda Tomas;99;CZE;Czechia;6:46
M*QF:5;1.9;10;9;1;Mollen August;99;SWE;Sweden;6:28
M*QF:5;1.9;10;9;2;Suter Timo;98;SUI;Switzerland;6:29
M*QF:5;1.9;10;9;3;Verove Guilhem;04;FRA;France;6:29
