Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
W*QF:1;1.9;40;13;1;Inka Nurminen;00;FIN;Finland;8:29
W*QF:1;1.9;40;13;2;Alva Sonesson;01;SWE;Sweden;8:30
W*QF:1;1.9;40;13;3;Maija Sianoja;88;FIN;Finland;8:31
W*QF:1;1.9;40;13;4;Natalia Gemperle;90;SUI;Switzerland;8:34
W*QF:1;1.9;40;13;5;Amy Nymalm;98;FIN;Finland;8:54
W*QF:1;1.9;40;13;6;Deborah Stadler;97;SUI;Switzerland;9:00
W*QF:2;1.9;40;13;1;Hanna Lundberg;02;SWE;Sweden;8:12
W*QF:2;1.9;40;13;2;Pia Young Vik;03;NOR;Norway;8:18
W*QF:2;1.9;40;13;3;Grace Molloy;00;GBR;Great Britain;8:45
W*QF:2;1.9;40;13;4;Corina Hueni;01;SUI;Switzerland;8:52
W*QF:2;1.9;40;13;5;Annabelle Delenne;04;FRA;France;8:55
W*QF:2;1.9;40;13;;Ingrid Lundanes;97;NOR;Norway;P.fehl.
W*QF:3;1.9;40;13;1;Victoria Haestad Bjornstad;99;NOR;Norway;8:22
W*QF:3;1.9;40;13;1;Ana Isabel Toledo;00;ESP;Spain;8:22
W*QF:3;1.9;40;13;3;Cecile Calandry;01;FRA;France;8:24
W*QF:3;1.9;40;13;4;Ines Berger;03;SUI;Switzerland;8:30
W*QF:3;1.9;40;13;5;Ylvi Kastner;00;AUT;Austria;8:37
W*QF:3;1.9;40;13;6;Jana Pekarova;02;CZE;Czechia;11:05
W*QF:4;1.9;40;13;1;Tereza Rauturier;99;CZE;Czechia;8:23
W*QF:4;1.9;40;13;2;Maelle Beauvir;97;FRA;France;8:24
W*QF:4;1.9;40;13;3;Venla Harju;90;FIN;Finland;8:26
W*QF:4;1.9;40;13;4;Eleonora Alinder;03;SWE;Sweden;8:30
W*QF:4;1.9;40;13;;Josefine Lind;97;DEN;Denmark;disqu.
W*QF:5;1.9;40;13;1;Vilma von Krusenstierna;99;SWE;Sweden;8:25
W*QF:5;1.9;40;13;2;Ida Haapala;01;FIN;Finland;8:25
W*QF:5;1.9;40;13;3;Aleksandra Hornik;96;POL;Poland;8:26
W*QF:5;1.9;40;13;4;Ida Agervig Kristiansson;99;DEN;Denmark;8:30
W*QF:5;1.9;40;13;5;Lilly Graber;02;SUI;Switzerland;8:35
W*QF:5;1.9;40;13;6;Laura Robertson;93;NZL;New Zealand;9:01
W*QF:6;1.9;40;13;1;Simona Aebersold;98;SUI;Switzerland;8:23
W*QF:6;1.9;40;13;2;Eef van Dongen;93;NED;Netherlands;8:26
W*QF:6;1.9;40;13;3;Hanne Hilo;02;FIN;Finland;8:27
W*QF:6;1.9;40;13;4;Frida Vikstrom;00;SWE;Sweden;8:29
W*QF:6;1.9;40;13;5;Ane Dyrkorn;99;NOR;Norway;9:13
W*QF:6;1.9;40;13;6;Jana Peterova;00;CZE;Czechia;9:17
M*QF:1;1.9;40;13;1;Tuomas Heikkila;98;FIN;Finland;7:13
M*QF:1;1.9;40;13;2;Matthias Kyburz;90;SUI;Switzerland;7:18
M*QF:1;1.9;40;13;3;Jakub Glonek;96;CZE;Czechia;7:20
M*QF:1;1.9;40;13;4;Simen Spets Storhov;01;NOR;Norway;7:23
M*QF:1;1.9;40;13;5;Daniel Hubmann;83;SUI;Switzerland;7:39
M*QF:1;1.9;40;13;6;Quentin Andrieux;01;FRA;France;8:05
M*QF:2;1.9;40;13;1;Benjamin Wey;03;SUI;Switzerland;7:02
M*QF:2;1.9;40;13;2;Martin Regborn;92;SWE;Sweden;7:05
M*QF:2;1.9;40;13;3;Mathieu Perrin;98;FRA;France;7:08
M*QF:2;1.9;40;13;4;Aarni Ronkainen;03;FIN;Finland;7:09
M*QF:2;1.9;40;13;5;Adrien Delenne;96;FRA;France;7:20
M*QF:2;1.9;40;13;6;Freddie Carcas;99;GBR;Great Britain;8:16
M*QF:3;1.9;40;13;1;Francesco Mariani;01;ITA;Italy;7:11
