Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
M;4.0;20;25;1;Emil Svensk;93;SWE;Sweden;14:12
M;4.0;20;25;2;Tuomas Heikkila;98;FIN;Finland;14:13
M;4.0;20;25;3;Martin Regborn;92;SWE;Sweden;14:16
M;4.0;20;25;4;Jonatan Gustafsson;99;SWE;Sweden;14:21
M;4.0;20;25;5;Yannick Michiels;91;BEL;Belgium;14:26
M;4.0;20;25;6;Eirik Langedal Breivik;98;NOR;Norway;14:34
M;4.0;20;25;6;Gustav Runefors;00;SWE;Sweden;14:34
M;4.0;20;25;8;Isac von Krusenstierna;98;SWE;Sweden;14:35
M;4.0;20;25;9;Akseli Ruohola;98;FIN;Finland;14:37
M;4.0;20;25;10;Tomas Krivda;99;CZE;Czechia;14:41
M;4.0;20;25;11;Tino Polsini;99;SUI;Switzerland;14:42
M;4.0;20;25;11;Francesco Mariani;01;ITA;Italy;14:42
M;4.0;20;25;13;Daniel Hubmann;83;SUI;Switzerland;14:43
M;4.0;20;25;14;Adrien Delenne;96;FRA;France;14:44
M;4.0;20;25;15;August Mollen;99;SWE;Sweden;14:45
M;4.0;20;25;16;Ralph Street;90;GBR;Great Britain;14:46
M;4.0;20;25;17;Timo Suter;98;SUI;Switzerland;14:49
M;4.0;20;25;18;Max Peter Bejmer;92;SWE;Sweden;14:50
M;4.0;20;25;19;Henry Mcnulty;96;AUS;Australia;14:53
M;4.0;20;25;20;Guilhem Verove;04;FRA;France;14:55
M;4.0;20;25;20;Martin Hubmann;89;SUI;Switzerland;14:55
M;4.0;20;25;20;Fabian Aebersold;00;SUI;Switzerland;14:55
M;4.0;20;25;23;Mathias Barros Vallet;03;FRA;France;14:56
M;4.0;20;25;24;Joey Hadorn;97;SUI;Switzerland;14:58
M;4.0;20;25;24;Alvaro Casado;00;ESP;Spain;14:58
M;4.0;20;25;24;Tim Robertson;95;NZL;New Zealand;14:58
M;4.0;20;25;27;Havard Sandstad Eidsmo;98;NOR;Norway;14:59
M;4.0;20;25;28;Riccardo Rancan;96;SUI;Switzerland;15:00
M;4.0;20;25;29;Jorgen Baklid;99;NOR;Norway;15:01
M;4.0;20;25;29;Kasper Harlem Fosser;99;NOR;Norway;15:01
M;4.0;20;25;31;Teemu Oksanen;00;FIN;Finland;15:02
M;4.0;20;25;32;Andreas Bock Bjoernsen;00;DEN;Denmark;15:04
M;4.0;20;25;33;Axel Elmblad;02;SWE;Sweden;15:05
M;4.0;20;25;34;Elias Jonsson;99;NOR;Norway;15:06
M;4.0;20;25;35;Ruslan Glibov;87;UKR;Ukraine;15:08
M;4.0;20;25;35;Tobia Pezzati;96;SUI;Switzerland;15:08
M;4.0;20;25;37;Aarni Ronkainen;03;FIN;Finland;15:10
M;4.0;20;25;37;Tobias Alstad;02;NOR;Norway;15:10
M;4.0;20;25;39;Quentin Moulet;00;FRA;France;15:11
M;4.0;20;25;40;Mattia Debertolis;96;ITA;Italy;15:13
M;4.0;20;25;41;Quentin Andrieux;01;FRA;France;15:14
M;4.0;20;25;42;Joseph Lynch;99;NZL;New Zealand;15:15
M;4.0;20;25;43;Touko Seppa;02;FIN;Finland;15:16
M;4.0;20;25;44;Nathan Marchand;02;FRA;France;15:17
M;4.0;20;25;45;Miika Kirmula;94;FIN;Finland;15:19
M;4.0;20;25;46;Freddie Carcas;99;GBR;Great Britain;15:20
M;4.0;20;25;47;Jannis Bonek;99;AUT;Austria;15:21
M;4.0;20;25;48;Martin Roudny;00;CZE;Czechia;15:22
M;4.0;20;25;49;Loic Capbern;93;FRA;France;15:24
M;4.0;20;25;50;Nathan Lawson;97;GBR;Great Britain;15:27
M;4.0;20;25;50;Jakub Glonek;96;CZE;Czechia;15:27
M;4.0;20;25;52;Jonas Hubacek;95;CZE;Czechia;15:28
M;4.0;20;25;53;Mathias Blaise;98;BEL;Belgium;15:29
M;4.0;20;25;54;Jannis Schoenleber;96;GER;Germany;15:30
M;4.0;20;25;54;Jonathan Crickmore;93;GBR;Great Britain;15:30
M;4.0;20;25;54;Aaro Aho;99;FIN;Finland;15:30
M;4.0;20;25;57;Jacob Steinthal;01;DEN;Denmark;15:31
M;4.0;20;25;58;Mats Eidsmo;00;NOR;Norway;15:32
M;4.0;20;25;59;Matthias Reiner;94;AUT;Austria;15:33
M;4.0;20;25;59;Lukas Novak;01;AUT;Austria;15:33
M;4.0;20;25;61;Basile Basset;02;FRA;France;15:34
M;4.0;20;25;62;Zoltan Bujdoso;02;HUN;Hungary;15:35
M;4.0;20;25;63;Pablo Ferrando;02;ESP;Spain;15:37
M;4.0;20;25;64;Jeppe Edvardsen;01;DEN;Denmark;15:39
M;4.0;20;25;65;Anselm Reichenbach;03;GER;Germany;15:42
M;4.0;20;25;65;Emil Oebro;96;DEN;Denmark;15:42
M;4.0;20;25;67;Warre de Cuyper;97;BEL;Belgium;15:43
M;4.0;20;25;67;Peter Hodkinson;91;GBR;Great Britain;15:43
M;4.0;20;25;67;Kenny Kivikas;91;EST;Estonia;15:43
M;4.0;20;25;70;Michal Olejnik;92;POL;Poland;15:44
M;4.0;20;25;71;Daniel Vandas;98;CZE;Czechia;15:45
M;4.0;20;25;72;David Rojas;00;ESP;Spain;15:46
M;4.0;20;25;73;Mathias Peter;96;AUT;Austria;15:52
M;4.0;20;25;74;Bojan Blumenstein;93;GER;Germany;15:54
M;4.0;20;25;74;Piotr Parfianowicz;94;POL;Poland;15:54
M;4.0;20;25;76;Gonzalo Ferrando;04;ESP;Spain;15:56
M;4.0;20;25;77;Sampo Sankelo;03;FIN;Finland;15:59
M;4.0;20;25;77;Isak Jonsson;01;NOR;Norway;15:59
M;4.0;20;25;79;Linus Agervig Kristiansson;01;DEN;Denmark;16:00
