Kategorie;Laenge;Steigung;PoAnz;Rang;Name;Jahrgang;Ort;Club;Zeit
M;3.9;50;18;1;Tino Polsini;99;SUI;Switzerland;13:44
M;3.9;50;18;2;Tomas Krivda;99;CZE;Czechia;13:45
M;3.9;50;18;3;Yannick Michiels;91;BEL;Belgium;13:58
M;3.9;50;18;4;Tuomas Heikkila;98;FIN;Finland;14:07
M;3.9;50;18;5;Zoltan Bujdoso;02;HUN;Hungary;14:10
M;3.9;50;18;6;Isac von Krusenstierna;98;SWE;Sweden;14:13
M;3.9;50;18;7;Francesco Mariani;01;ITA;Italy;14:14
M;3.9;50;18;8;Benjamin Wey;03;SUI;Switzerland;14:19
M;3.9;50;18;9;Teemu Oksanen;00;FIN;Finland;14:27
M;3.9;50;18;10;Mathias Barros Vallet;03;FRA;France;14:32
M;3.9;50;18;11;Kasper Harlem Fosser;99;NOR;Norway;14:36
M;3.9;50;18;12;Eirik Langedal Breivik;98;NOR;Norway;14:37
M;3.9;50;18;13;Peter Molloy;02;GBR;Great Britain;14:42
M;3.9;50;18;13;Guilhem Verove;04;FRA;France;14:42
M;3.9;50;18;15;Lukas Novak;01;AUT;Austria;14:43
M;3.9;50;18;15;Daniel Hubmann;83;SUI;Switzerland;14:43
M;3.9;50;18;17;Adrien Delenne;96;FRA;France;14:47
M;3.9;50;18;17;Emil Svensk;93;SWE;Sweden;14:47
M;3.9;50;18;19;Havard Sandstad Eidsmo;98;NOR;Norway;14:48
M;3.9;50;18;20;Aaro Aho;99;FIN;Finland;14:50
M;3.9;50;18;20;Gustav Runefors;00;SWE;Sweden;14:50
M;3.9;50;18;20;Timo Suter;98;SUI;Switzerland;14:50
M;3.9;50;18;23;Aarni Ronkainen;03;FIN;Finland;14:51
M;3.9;50;18;24;Reto Egger;99;SUI;Switzerland;14:53
M;3.9;50;18;25;Romain Pichard;04;FRA;France;14:54
M;3.9;50;18;26;Axel Granqvist;99;SWE;Sweden;14:57
M;3.9;50;18;27;Ferenc Jonas;01;HUN;Hungary;14:58
M;3.9;50;18;28;Alfred Bjoerneroed;04;NOR;Norway;15:00
M;3.9;50;18;28;Fabian Aebersold;00;SUI;Switzerland;15:00
M;3.9;50;18;30;Quentin Andrieux;01;FRA;France;15:01
M;3.9;50;18;31;David Rojas;00;ESP;Spain;15:02
M;3.9;50;18;32;Jakub Glonek;96;CZE;Czechia;15:04
M;3.9;50;18;33;Mathieu Perrin;98;FRA;France;15:06
M;3.9;50;18;34;Santeri Kirjavainen;03;FIN;Finland;15:07
M;3.9;50;18;34;Florian Attinger;97;SUI;Switzerland;15:07
M;3.9;50;18;36;Otto Kaario;98;FIN;Finland;15:08
M;3.9;50;18;37;Lukas Liland;99;NOR;Norway;15:09
M;3.9;50;18;37;Niels Dalgaard;05;DEN;Denmark;15:09
M;3.9;50;18;37;Andreas Bock Bjoernsen;00;DEN;Denmark;15:09
M;3.9;50;18;40;Tomas Urbanek;06;CZE;Czechia;15:10
M;3.9;50;18;41;Jakub Chaloupsky;03;CZE;Czechia;15:13
M;3.9;50;18;41;Alvaro Casado;00;ESP;Spain;15:13
M;3.9;50;18;43;Oskar Spets Storhov;99;NOR;Norway;15:15
M;3.9;50;18;43;August Mollen;99;SWE;Sweden;15:15
M;3.9;50;18;45;Akseli Ruohola;98;FIN;Finland;15:16
M;3.9;50;18;46;Jurgen Joonas;03;EST;Estonia;15:17
M;3.9;50;18;47;Sampo Sankelo;03;FIN;Finland;15:18
M;3.9;50;18;48;Michal Olejnik;92;POL;Poland;15:20
M;3.9;50;18;49;Mathias Blaise;98;BEL;Belgium;15:23
M;3.9;50;18;50;Georg Groell;99;AUT;Austria;15:25
M;3.9;50;18;51;Nathan Lawson;97;GBR;Great Britain;15:29
M;3.9;50;18;52;Henry Mcnulty;96;AUS;Australia;15:30
M;3.9;50;18;53;Freddie Carcas;99;GBR;Great Britain;15:31
M;3.9;50;18;54;Jim Bailey;03;GBR;Great Britain;15:35
M;3.9;50;18;54;Piotr Parfianowicz;94;POL;Poland;15:35
M;3.9;50;18;56;Loic Dequiedt;06;GER;Germany;15:36
M;3.9;50;18;56;Giacomo Zagonel;93;ITA;Italy;15:36
M;3.9;50;18;58;Ilian Angeli;02;ITA;Italy;15:37
M;3.9;50;18;59;Harry Mcmurtrie;00;GBR;Great Britain;15:38
M;3.9;50;18;59;Mattia Scopel;00;ITA;Italy;15:38
M;3.9;50;18;59;Daniel Vandas;98;CZE;Czechia;15:38
M;3.9;50;18;62;Sigurd Paulsen Vie;01;NOR;Norway;15:43
M;3.9;50;18;63;Jonas Hubacek;95;CZE;Czechia;15:50
M;3.9;50;18;63;Loic Capbern;93;FRA;France;15:50
M;3.9;50;18;65;Timon Lorenz;00;GER;Germany;15:52
M;3.9;50;18;66;Albin Warvelin;03;SWE;Sweden;15:58
M;3.9;50;18;67;Nicolas Kastner;98;AUT;Austria;16:01
M;3.9;50;18;68;Kylian Wymer;01;AUS;Australia;16:05
M;3.9;50;18;69;David Bunn;01;GBR;Great Britain;16:08
M;3.9;50;18;70;Gonzalo Ferrando;04;ESP;Spain;16:10
M;3.9;50;18;71;Konstantin Kunckel;03;GER;Germany;16:11
M;3.9;50;18;72;Moritz Czech;04;AUT;Austria;16:12
M;3.9;50;18;72;Mathias Peter;96;AUT;Austria;16:12
M;3.9;50;18;74;Eddie Narbett;99;GBR;Great Britain;16:17
M;3.9;50;18;75;Ondrej Brosch;06;CZE;Czechia;16:19
M;3.9;50;18;76;Ioan Iacob;05;ROU;Romania;16:22
M;3.9;50;18;76;Warre de Cuyper;97;BEL;Belgium;16:22
M;3.9;50;18;78;Kasparas Murenas;05;LTU;Lithuania;16:23
